[08/Jul/2024:00:40:11 +0000] 404 - GET http 3.9.132.123 "/hudson" [Client 172.206.143.187] [Length 122] [Gzip 1.35] "Mozilla/5.0 zgrab/0.x" "-"
[08/Jul/2024:00:48:12 +0000] 404 - HEAD http 3.9.132.123 "/Core/Skin/Login.aspx" [Client 101.32.192.203] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36" "-"
[08/Jul/2024:00:49:11 +0000] 400 - GET http 3.9.132.123 "/" [Client 87.236.176.190] [Length 252] [Gzip -] "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)" "-"
[08/Jul/2024:09:20:11 +0000] 200 - GET http localhost-nginx-proxy-manager "/" [Client 198.235.24.138] [Length 1033] [Gzip -] "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com" "-"
[08/Jul/2024:09:57:29 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 35.189.73.168] [Length 154] [Gzip -] "-" "-"
[08/Jul/2024:09:57:31 +0000] 405 - OPTIONS http 3.8.215.252 "/" [Client 35.189.73.168] [Length 154] [Gzip -] "-" "-"
[08/Jul/2024:10:30:02 +0000] 200 - GET http 3.8.215.252 "/" [Client 102.89.23.253] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[08/Jul/2024:10:32:37 +0000] 200 - GET http suesue.chickenkiller.com "/" [Client 35.172.111.216] [Length 568] [Gzip 1.86] "Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)" "-"
[08/Jul/2024:10:32:43 +0000] 200 - GET http suesue.chickenkiller.com "/" [Client 102.89.22.252] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
[08/Jul/2024:10:57:23 +0000] 200 - GET http localhost-nginx-proxy-manager "/" [Client 102.129.79.26] [Length 1033] [Gzip -] "masscan/1.0 (https://github.com/robertdavidgraham/masscan)" "-"
[08/Jul/2024:11:00:55 +0000] 200 - GET http 3.8.215.252 "/" [Client 71.6.232.25] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36" "-"
[08/Jul/2024:11:11:26 +0000] 200 - GET http 3.8.215.252 "/" [Client 162.216.149.138] [Length 568] [Gzip 1.86] "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com" "-"
[08/Jul/2024:11:47:26 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 185.254.196.173] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:11:47:26 +0000] 405 - POST http 3.8.215.252 "/" [Client 185.254.196.173] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:12:12:00 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 185.254.196.173] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:12:12:00 +0000] 405 - POST http 3.8.215.252 "/" [Client 185.254.196.173] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:12:12:21 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 184.105.247.195] [Length 154] [Gzip -] "-" "-"
[08/Jul/2024:12:32:59 +0000] 200 - GET http 3.8.215.252 "/" [Client 44.222.134.117] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.62 YaBrowser/19.9.0.918 (beta) Yowser/2.5 Safari/537.36" "-"
[08/Jul/2024:12:52:10 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 135.125.246.110] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:12:52:10 +0000] 405 - POST http 3.8.215.252 "/" [Client 135.125.246.110] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:13:17:26 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 185.254.196.173] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:13:17:29 +0000] 405 - POST http 3.8.215.252 "/" [Client 185.254.196.173] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:13:41:39 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 185.254.196.173] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:13:41:40 +0000] 405 - POST http 3.8.215.252 "/" [Client 185.254.196.173] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:13:54:15 +0000] 200 - GET http 3.8.215.252 "/" [Client 18.246.243.148] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Linux; Android 9; G8141) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36" "-"
[08/Jul/2024:14:46:23 +0000] 404 - GET http 3.8.215.252 "/.env" [Client 135.125.246.110] [Length 183] [Gzip 3.21] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
[08/Jul/2024:14:46:23 +0000] 405 - POST http 3.8.215.252 "/" [Client 135.125.246.110] [Length 556] [Gzip -] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36" "-"
